USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
510560,99999,APPROXIMATE LOCALE,CH,,,+47.933,+086.167,+0000.0,19890508,20020918
510680,99999,FUHAI/BURULTOKAY,CH,,,+47.100,+087.383,+0472.0,19620306,19971231
510760,99999,ALTAY,CH,,,+47.733,+088.083,+0737.0,19560820,20230630
510770,99999,BOGUS CHINESE,CH,,,+47.167,+088.367,-0999.0,19570613,20020824
510860,99999,BOGUS CHINESE,CH,,,,,,19840502,20020924
510870,99999,FUYUN,CH,,,+46.983,+089.517,+0827.0,19560820,20230630
511160,99999,BOGUS CHINESE,CH,,,,,,19870103,20020803
511330,99999,TACHENG,CH,,,+46.733,+083.000,+0535.0,19610901,20230630
511560,99999,HOBOKSAR,CH,,,+46.817,+085.750,+1323.2,19560820,20230630
511860,99999,QINGHE/QINGGLI,CH,,,+46.717,+090.400,+1463.0,19620302,19971231
512320,99999,PA-ERH-LU-K'O MTN,CH,,,+45.950,+082.567,+1067.0,19591209,19971231
512410,99999,TO-LI,CH,,,+45.950,+083.617,+2072.0,19570629,19971231
512430,99999,KARAMAY,CH,,,+45.600,+084.850,+0428.0,19610402,20230630
512880,99999,BAYTIK SHAN,CH,,,+45.367,+090.533,+1651.0,19591209,20230428
512940,99999,BOGUS CHINESE,CH,,,,,,19860504,20011008
513300,99999,BOLE/BORTALA,CH,,,+44.917,+082.067,+1366.0,19620302,19971231
513340,99999,JINGHE,CH,,,+44.567,+082.817,+0330.2,19560820,20230630
513460,99999,KUYTUN,CH,,,+44.433,+084.967,+0442.0,19560820,19971231
513520,99999,PAO-TAI EAST,CH,,,+44.817,+085.600,+0335.0,19560820,19570630
513560,99999,SHIHEZI,CH,,,+44.300,+086.033,+0457.0,19560820,19971231
513650,99999,FUKANG,CH,,,+44.150,+087.983,+0549.0,19620302,19971231
513790,99999,QITAI,CH,,,+44.017,+089.567,+0794.0,19560820,20230630
514300,99999,INING,CH,,,+43.917,+081.283,+0670.0,19560820,19580812
514310,99999,YINING,CH,,ZWYN,+43.950,+081.333,+0663.0,19580809,20230428
514370,99999,ZHAOSU/MONGGOLKURE,CH,,,+43.167,+081.117,+1830.0,19620302,19971231
514630,99999,WU LU MU QI,CH,,,+43.783,+087.617,+0919.0,19560820,20230630
514635,99999,DIWOPU,CH,,ZWWW,+43.907,+087.474,+0647.7,19850209,20230630
514670,99999,BALGUNTAY,CH,,,+42.667,+086.333,+1753.0,19600101,20230428
514770,99999,PAU-YANG-HU,CH,,,+43.200,+088.467,+1037.0,19620302,19971231
514950,99999,SHISANJIANFANG,CH,,,+43.217,+091.733,+0732.0,19560820,20230630
514960,99999,YIWANQUAN,CH,,,+43.383,+092.100,+1890.0,19890901,19990715
515260,99999,CHUGIRTY,CH,,,+42.800,+080.850,+2042.0,19620302,19971231
515420,99999,BAYANBULAK,CH,,,+43.033,+084.150,+2459.0,19600101,20230630
515570,99999,BOGUS CHINESE,CH,,,,,,19881001,20011120
515670,99999,YANQI,CH,,,+42.050,+086.567,+1097.0,19560820,19971231
515730,99999,TURPAN,CH,,,+42.950,+089.233,+0039.3,19560820,20230630
515810,99999,SHANSHAN/PIQAN,CH,,,+42.917,+090.250,+0410.0,19890901,19970504
516280,99999,WEN-SU,CH,,,+41.267,+080.233,+1286.0,19560820,19971231
516330,99999,BAICHENG/BAY,CH,,,+41.767,+081.867,+1280.0,19621101,19971231
516380,99999,KUQA SOUTHWEST,CH,,,+41.300,+081.683,+0985.0,19620302,19620731
516420,99999,LUNTAI/BUGUR,CH,,,+41.783,+084.167,+0883.0,19620302,19971231
516440,99999,KUQA,CH,,,+41.717,+082.950,+1100.0,19560820,20230630
516560,99999,KORLA,CH,,,+41.733,+085.817,+0903.0,19610901,20230630
517010,99999,SAI-K'O-LO-T'E-MA,CH,,,+40.450,+075.383,+3651.0,19620302,19971231
517050,99999,AR-TUX,CH,,,+39.667,+076.167,+1494.0,19560820,19971231
517060,99999,TEJAN,CH,,,+39.700,+076.350,,19560820,19570930
517080,99999,AK-TO,CH,,,+00.000,+000.000,-0999.0,19790705,19820402
517090,99999,KASHI,CH,,ZWSH,+39.543,+076.020,+1380.4,19571004,20230630
517110,99999,AKQI,CH,,,+40.933,+078.450,+1986.0,19570701,20230630
517160,99999,BACHU,CH,,,+39.800,+078.567,+1117.0,19560820,20230630
517200,99999,CH'I-LAN-TAI,CH,,,+40.533,+079.533,+1158.0,19620202,19971231
517300,99999,ALAR,CH,,,+40.500,+081.050,+1013.0,19620302,20230630
517470,99999,TAZHONG,CH,,,+39.000,+083.667,+1099.0,20010915,20230630
517650,99999,TIKANLIK,CH,,,+40.633,+087.700,+0847.0,19570630,20230630
517770,99999,RUOQIANG,CH,,,+39.033,+088.167,+0889.0,19560820,20230428
517780,99999,BOGUS CHINESE,CH,,,,,,19801004,20020611
517860,99999,BOGUS CHINESE,CH,,,,,,19801004,20011214
518040,99999,P U-LI,CH,,,+37.783,+075.233,+3159.0,19570201,19600328
518110,99999,SHACHE,CH,,,+38.433,+077.267,+1232.0,19560820,20230630
518180,99999,PISHAN,CH,,,+37.617,+078.283,+1376.0,19610301,20230630
518280,99999,HOTAN,CH,,ZWTN,+37.133,+079.933,+1375.0,19560820,20230630
518390,99999,MINFENG,CH,,,+37.067,+082.717,+1409.0,19600101,19971231
518480,99999,ANDIR,CH,,,+37.933,+083.650,+1264.0,19620302,19971231
518550,99999,QIEMO/QARQAN,CH,,,+38.150,+085.550,+1248.0,19560820,19971231
518860,99999,MANGNAI,CH,,,+38.250,+090.850,+2945.0,19610801,20230630
518950,99999,ZILIUJING WEST,CH,,,+37.850,+091.483,+3061.0,19560820,19610705
519150,99999,SOGAT SOUTHWEST,CH,,,+36.333,+078.000,+3700.0,19570629,19600131
519310,99999,YUTIAN/KERIYA,CH,,,+36.867,+081.700,+1554.0,19560820,19971231
521010,99999,BARKOL,CH,,,+43.583,+092.850,+1584.0,19610901,19971231
521120,99999,NAOMAOHU,CH,,,+43.600,+095.133,+0469.0,20030330,20230630
521180,99999,YIWU,CH,,,+43.267,+094.700,+1729.0,19610901,19971231
522030,99999,HAMI,CH,,ZWHM,+42.817,+093.517,+0739.0,19560820,20230630
522670,99999,EJIN QI,CH,,,+41.950,+101.067,+0941.0,19600301,20230428
522680,99999,APPROXIMATE LOCALE,CH,,,+42.083,+101.667,+0000.0,19740425,20020522
523030,99999,YA-MAN-SU,CH,,,+00.000,+000.000,-0999.0,19731008,20011209
523130,99999,XING-XING-XIA,CH,,,+41.783,+095.133,+1935.0,19560820,19971231
523180,99999,HONGLIUYUAN,CH,,,+41.067,+095.417,+1524.0,19740612,20201230
523230,99999,MAZONG SHAN,CH,,,+41.800,+097.033,+1770.0,19591209,20230630
523330,99999,YEH-MA-CHING,CH,,,+41.700,+098.250,+1463.0,19740430,19820421
523430,99999,SHU-LUN-CHING,CH,,,+41.950,+100.000,+0958.0,19610701,20221119
523530,99999,DALAIN HOB EAST,CH,,,+41.967,+100.883,+0946.0,19570601,19580531
523670,99999,BOGUS CHINESE,CH,,,,,,19801001,19850320
523770,99999,BOGUS CHINESE,CH,,,,,,19801002,19840506
523780,99999,GUAIZIHU,CH,,,+41.367,+102.367,+0960.0,19600501,20230630
523910,99999,PANG-TING-TO-TO-KAI,CH,,,+41.750,+103.967,+1463.0,19600101,20020416
524180,99999,DUNHUANG,CH,,,+40.150,+094.683,+1140.0,19560820,20230428
524240,99999,AN-XI,CH,,,+40.500,+096.000,+1177.0,19570629,19971231
524310,99999,BOGUS CHINESE,CH,,,,,,19840102,19860927
524340,99999,YUMENZHEN NORTHEAST,CH,,,+40.467,+097.183,+1360.0,19621102,19621230
524360,99999,YUMENZHEN,CH,,,+40.267,+097.033,+1527.0,19560820,20230630
524410,99999,BEISHAN (MTNS),CH,,,+40.717,+098.617,+1554.0,19730101,19900418
524460,99999,SHUANGCHENGTZU,CH,,,+40.400,+099.800,+1158.0,19560820,19971231
524470,99999,JINTA,CH,,,+39.817,+098.900,+1372.0,19890101,19970514
524950,99999,BAYAN MOD,CH,,,+40.750,+104.500,+1329.0,19610902,20230630
525230,99999,APPROXIMATE LOCALE,CH,,,+39.833,+096.750,+0000.0,19801001,19840611
525330,99999,JIUQUAN/SUZHOU,CH,,ZLJQ,+39.767,+098.483,+1478.0,19460331,20230630
525331,99999,ZHONGCHUAN,CH,,ZLLL,+36.515,+103.620,+1947.1,20040713,20230630
525360,99999,JIAYUGUAN SOUTHWEST,CH,,,+39.617,+098.050,+2154.0,19610903,19610930
525430,99999,BOGUS CHINESE,CH,,,,,,19801002,20020501
525460,99999,GAOTAI WEST,CH,,,+39.383,+099.717,+1354.0,19560820,19611031
525760,99999,LAI-YEN-CH'IH,CH,,,+39.383,+102.833,+1383.0,19570601,19971231
526020,99999,LENGHU,CH,,,+38.833,+093.383,+2771.0,19570701,20230630
526180,99999,DANGCHENGWAN SOUTH,CH,,,+39.167,+094.833,+3746.0,19620302,19620430
526330,99999,TUO-LE,CH,,,+38.800,+098.417,+0609.0,19610902,19971231
526450,99999,YEH-NIU-KOU,CH,,,+38.467,+099.550,+2169.0,19600301,19970514
526510,99999,ZHANG-YE/SOUTH,CH,,,+38.817,+100.400,+1493.0,19560820,20011205
526520,99999,ZHANGYE,CH,,,+39.083,+100.283,+1462.0,19600101,20230630
526530,99999,ZHANG-YE/SOUTHEAST,CH,,,+38.800,+100.667,+1463.0,19731109,20011012
526570,99999,BABAO,CH,,,+38.233,+100.250,+2700.0,19600101,19970514
526610,99999,SHAN-DAN,CH,,,+38.800,+101.083,+1760.0,19560820,19970514
526710,99999,SALT LAKE,CH,,,+00.000,+000.000,-0999.0,19740422,20020609
526740,99999,JIN-CHANG,CH,,,+38.467,+102.183,+1676.0,19640101,19971231
526790,99999,CAIQI SOUTHEAST,CH,,,+38.083,+102.917,+1525.0,19560820,19611031
526810,99999,MINQIN,CH,,,+38.633,+103.083,+1367.0,19570502,20230630
526820,99999,BOGUS CHINESE,CH,,,,,,19890404,20020106
526980,99999,GOLMUD NW,CH,,,+00.000,+000.000,-0999.0,19800703,20010829
527020,99999,SHA-LIANG-ZI,CH,,,+37.917,+093.350,+0000.0,19801005,20010903
527070,99999,T'A-ERH-TING,CH,,,+37.067,+092.867,+2712.0,19570701,19971231
527130,99999,DA-QAIDAM,CH,,,+37.850,+095.367,+3174.0,19570630,20230630
527230,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19740612,20020926
527360,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19731004,20020818
527370,99999,DELINGHA,CH,,,+37.367,+097.367,+2982.0,19560820,20230630
527380,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19731129,20011104
527400,99999,HSIN-YUAN,CH,,,+37.300,+099.017,+3627.0,19890928,19970514
527440,99999,KARMAR NORTHWEST,CH,,,+37.500,+098.800,+3978.0,19610316,19620621
527530,99999,BOGUS CHINESE,CH,,,+37.683,+100.700,+3353.0,19740612,19850306
527540,99999,GANGCA,CH,,,+37.333,+100.133,+3302.0,19610316,20230630
527650,99999,HAO-MEN,CH,,,+37.367,+101.617,+2682.0,19610901,19971231
527660,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19731110,20011214
527760,99999,GU-LANG (?),CH,,,+00.000,+000.000,-0999.0,19740617,19811221
527770,99999,XOLUNGLANG SE,CH,,,+37.150,+102.217,+2934.0,19740425,19741203
527790,99999,TIANZHU NORTHEAST,CH,,,+37.267,+102.883,+2728.0,19740423,19760112
527820,99999,NAME/LOCATION UNKN,CH,,,,,,19801004,20011110
527870,99999,WUSHAOLING,CH,,,+37.200,+102.867,+3044.0,19560820,20230630
527880,99999,BOGUS CHINESE,CH,,,+37.233,+103.400,+2415.0,19731101,20020922
527970,99999,CHING-T'AI,CH,,,+37.133,+104.217,+1402.0,19620302,19970514
527980,99999,BOGUS CHINESE,CH,,,+37.067,+104.467,+1829.0,19740427,20160421
528130,99999,GOL-MUD (?),CH,,,+36.817,+095.350,+2731.0,19731109,20011126
528180,99999,GOLMUD,CH,,ZLGM,+36.417,+094.900,+2809.0,19560820,20230630
528250,99999,NUO-MU-HONG,CH,,,+36.450,+096.467,+2804.0,19570601,19971231
528260,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19801001,19850320
528330,99999,SERH,CH,,,+36.950,+098.350,+2987.0,19890901,19970719
528360,99999,DOULAN,CH,,,+36.300,+098.100,+3190.0,19560820,20230630
528380,99999,HSIANG-JIH-TE NE,CH,,,+36.067,+097.750,+2976.0,19731108,19750414
528420,99999,CHA-KA,CH,,,+36.783,+099.083,+2925.0,19610901,19971231
528460,99999,BOGUS CHINESE,CH,,,,,,19801003,19840515
528540,99999,JIANG-XI-GOU (?),CH,,,+00.000,+000.000,-0999.0,19570701,20020910
528560,99999,GONGHE,CH,,,+36.350,+100.783,+2743.0,19560820,19971231
528570,99999,BOGUS CHINESE,CH,,,,,,19801004,19850328
528640,99999,HUANG-YUAN (?),CH,,,+00.000,+000.000,-0999.0,19841101,20020712
528660,99999,XINING,CH,,ZLXN,+36.617,+101.767,+2262.0,19560820,20230630
528680,99999,HEY-IN,CH,,,+36.033,+101.433,+2072.0,19620302,19971122
528760,99999,MINHE,CH,,,+36.333,+102.833,+1905.0,19620302,19970513
528860,99999,APPROXIMATE LOCALE,CH,,,+36.567,+103.700,+1951.0,19731108,20020803
528880,99999,LAN-ZHOU/CITY,CH,,ZLAN,+36.117,+103.617,+1600.0,19740613,20020301
528890,99999,LANZHOU,CH,,,+36.050,+103.883,+1518.0,19560820,19971231
528950,99999,JINGYUAN,CH,,,+36.583,+104.683,+1505.0,19560820,19971231
529070,99999,BOGUS CHINESE,CH,,,+35.167,+092.833,+4877.0,19740601,20020310
529080,99999,WUDAOLIANG,CH,,,+35.217,+093.083,+4613.0,19570701,20230630
529400,99999,APPROXIMATE LOCALE,CH,,,+35.500,+099.333,+0000.0,19841101,19851116
529410,99999,NAME UNKNOWN,CH,,,+35.717,+098.917,+3962.0,19900101,20101225
529420,99999,ZIKETAN WEST,CH,,,+35.767,+099.167,+4723.0,19600101,19600430
529430,99999,XINGHAI,CH,,,+35.750,+099.983,+3200.0,19600601,19970514
529470,99999,APPROXIMATE LOCALE,CH,,,+35.167,+098.750,+0000.0,19831203,19850625
529550,99999,GUINAN,CH,,,+35.583,+100.750,+3123.0,20010802,20230630
529570,99999,TONGDE,CH,,,+35.267,+100.650,+3290.0,19560820,19971231
529580,99999,APPROXIMATE LOCALE,CH,,,+35.267,+100.650,+0000.0,19731129,19890816
529680,99999,SON-AG,CH,,,+35.033,+101.467,+3565.0,19620302,20020208
529740,99999,BOGUS CHINESE,CH,,,,,,19910201,19971019
529780,99999,XIAHE NORTH,CH,,,+35.233,+102.500,+3050.0,19560820,19580408
529830,99999,YU ZHONG,CH,,,+35.867,+104.150,+1875.0,20040510,20230630
529840,99999,LINXIA,CH,,,+35.467,+102.983,+1920.0,19620302,19970807
529860,99999,LINTAO,CH,,,+35.333,+104.000,+1905.0,19570705,19970514
529960,99999,HUAJIALING,CH,,,+35.383,+105.000,+2450.0,19560820,20230630
530680,99999,ERENHOT,CH,,,+43.650,+112.000,+0966.0,19560820,20230630
530730,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19740429,20020410
530780,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19740420,20020610
530830,99999,NARAN BULAG,CH,,,+44.617,+114.150,+1183.0,19580101,20230630
531490,99999,MANDAL,CH,,,+42.533,+110.133,+1223.0,19580101,20230630
531920,99999,ABAG QI,CH,,,+44.017,+115.000,+1147.7,19560820,20230630
531950,99999,ENGER SHOOTO,CH,,,+43.383,+114.450,+1128.0,19570601,20090904
532310,99999,HAILS,CH,,,+41.450,+106.383,+1510.0,19600102,20230630
532760,99999,JURH,CH,,,+42.400,+112.900,+1152.0,19560820,20230428
532780,99999,BOIN SUM,CH,,,+42.200,+112.517,+1280.0,19890901,19910607
532860,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19731009,20011205
533230,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19740617,19841006
533310,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19801001,20011010
533360,99999,HALIUT,CH,,,+41.567,+108.517,+1290.0,19560820,20230630
533520,99999,BAILING-MIAO,CH,,,+41.700,+110.433,+1377.0,19560820,20230630
533620,99999,SHARA MORON SUME,CH,,,+42.033,+111.533,+1372.0,19610801,19971111
533630,99999,APPROXIMATE LOCALE,CH,,,+41.667,+111.783,+1524.0,19740616,20020203
533760,99999,BA-DAO-GOU (?),CH,,,+00.000,+000.000,-0999.0,19740421,20020605
533910,99999,HUADE,CH,,,+41.900,+114.000,+1484.0,19560820,20230630
534200,99999,HANG-CHIN-HOU-CHI NW,CH,,,+40.967,+107.167,+1035.0,19560820,19611031
534360,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19801001,20030723
534460,99999,BAOTOU,CH,,ZBOW,+40.567,+109.983,+0940.0,19560820,19840813
534463,99999,BAOTOU,CH,,ZBOW,+40.559,+109.998,+1012.2,20060727,20190611
534620,99999,PI KO CHAI(AFLD),CH,,,+40.750,+111.267,+1036.0,19731020,20030923
534630,99999,BAITA,CH,,ZBHH,+40.851,+111.824,+1083.9,19560820,20230630
534730,99999,CHI PI PU LANG,CH,,,+00.000,+000.000,-0999.0,19800708,20020509
534770,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19740425,20020524
534780,99999,YOU-YU,CH,,,+40.167,+112.333,+1212.0,19570601,19971231
534800,99999,JINING,CH,,,+41.033,+113.067,+1416.0,19560820,20230630
534870,99999,DATONG,CH,,,+40.083,+113.417,+1054.0,19570601,20230630
534880,99999,CHU LE P'U,CH,,,+00.000,+000.000,-0999.0,19731111,20020621
535020,99999,JARTAI,CH,,,+39.783,+105.750,+1143.0,19560820,20230630
535130,99999,LINHE,CH,,,+40.767,+107.400,+1041.0,19560820,20230630
535190,99999,SHIZUISHAN/DAWUKOU,CH,,,+39.050,+106.400,+0975.0,19620302,19970820
535230,99999,A-LU-CH'IH-LAO-KA,CH,,,+39.883,+108.000,+1372.0,19740613,20020910
535290,99999,OTOG QI,CH,,,+39.100,+107.983,+1381.0,19560820,20230630
535330,99999,HANG-GIN-QI,CH,,,+39.850,+108.733,+1450.0,19731004,20130527
535390,99999,PA LA MU TU SHIH LI,CH,,,+39.150,+108.900,+1140.0,19731004,19850401
535430,99999,DONGSHENG,CH,,,+39.833,+109.983,+1459.0,19730101,20230630
535460,99999,XINJIE NW,CH,,,+39.283,+109.750,+1310.0,19560820,19631231
535630,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19800401,20011128
535640,99999,HEQU,CH,,,+39.367,+111.217,+1037.0,19560820,20230630
535730,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19801001,20020625
535770,99999,BOGUS CHINESE,CH,,,+39.133,+112.300,+1219.0,19740612,20070602
535780,99999,BOGUS CHINESE,CH,,,+39.300,+112.417,+0900.0,19731108,20030414
535870,99999,BOGUS CHINESE,CH,,,+00.000,+000.000,-0999.0,19801003,20021010
535880,99999,WUTAI SHAN,CH,,,+38.950,+113.517,+2210.0,19560820,20230630
535930,99999,YU XIAN,CH,,,+39.833,+114.567,+0910.0,19560820,20230630
536020,99999,ALXA ZUOQI/BAYAN HO,CH,,,+38.833,+105.533,+1500.0,19600101,19970520
536140,99999,YINCHUAN,CH,,ZLIC,+38.483,+106.217,+1112.0,19560820,20230630
536150,99999,YINCHUAN (CITY),CH,,,+38.467,+106.317,+1005.0,19620302,19970514
536240,99999,BOGUS CHINESE,CH,,,,,,19801002,20011024
536360,99999,UXIN-QI,CH,,,+38.600,+108.850,+1341.0,19840503,19860712
536460,99999,YULIN,CH,,,+38.267,+109.783,+1158.0,19560820,20230630
536520,99999,BOGUS CHINESE,CH,,,+38.983,+110.600,+1219.0,19740503,20020604
536620,99999,MA-CHIA-HO EAST,CH,,,+38.800,+111.450,+1671.0,19740422,19740816
536630,99999,WU-ZHAI,CH,,,+38.917,+111.833,+1463.0,19570616,20070727
536640,99999,XINXIAN,CH,,,+38.400,+112.717,+0900.0,19570601,19971231
536660,99999,HSIA-TAO-HUNG SOUTH,CH,,,+38.400,+111.833,+1370.0,19570601,19620421
536730,99999,YUANPING,CH,,,+38.750,+112.700,+0838.0,19560820,20230630
536810,99999,BOGUS CHINESE,CH,,,+38.717,+113.000,+0792.0,19740124,20020417
536980,99999,SHIJIAZHUANG,CH,,,+38.067,+114.350,+0104.8,19560820,20230630
537050,99999,ZHONGNING,CH,,,+37.483,+105.683,+1193.0,19560820,20230630
537130,99999,BOGUS CHINESE,CH,,,,,,19801001,20020520
537140,99999,BOGUS CHINESE,CH,,,,,,19801002,20040913
537150,99999,HUI-AN-BU,CH,,,+37.450,+106.667,+1463.0,19731110,20010712
537230,99999,YANCHI,CH,,,+37.800,+107.383,+1356.0,19560820,20230630
537380,99999,PIN-KOU-MEN,CH,,,+37.150,+108.383,+1438.0,19600102,19971231
537400,99999,ZI-CHANG,CH,,,+37.133,+109.650,+1189.0,19570601,19970514
537430,99999,MI-ZHI AIRFIELD (?),CH,,,+37.867,+110.067,+0975.0,19740423,19820424
